id;title;emission_date;expiration_date;status;ordered_signing
1;invoice Switchable;2021-03-01T04:18:17;2021-02-28T14:10:01;COMPLETED;false
2;Division info-mediaries purple;2021-03-01T00:17:50;2021-03-01T05:03:17;CANCELLED;false
3;Maryland;2021-03-01T07:25:41;2021-03-01T07:16:48;COMPLETED;true
4;microchip;2021-03-01T07:12:47;2021-02-28T23:47:46;PENDING;true
5;Manager pixel;2021-02-28T14:08:35;2021-02-28T14:05:02;CANCELLED;false
6;Executive;2021-02-28T16:17:47;2021-02-28T19:09:29;COMPLETED;false
7;programming;2021-02-28T18:01:24;2021-02-28T15:50:08;PENDING;true
8;SCSI Dynamic deposit;2021-03-01T03:27:15;2021-02-28T20:56:07;PENDING;false
9;overriding supply-chains;2021-03-01T08:28:55;2021-03-01T03:02:00;CANCELLED;true
10;Home Loan Account Sleek hacking;2021-03-01T07:53:11;2021-02-28T21:19:51;PENDING;true
